0	2	M	C1	L1	3	1	4	No
1	1	F	C3	other	4	1	1	Yes
2	1	M	other	L2	2	1	2	No
3	1	M	C3	L1	3	3	1	Yes
4	NA	NA	NA	NA	NA	NA	NA	NA
5	2	M	other	L3	5	2	1	No
6	NA	NA	NA	NA	NA	NA	NA	NA
7	0	F	other	other	2	2	2	No
8	0	M	other	L2	2	3	1	No
9	NA	NA	NA	NA	NA	NA	NA	NA
10	1	F	other	other	3	2	1	Yes
11	1	F	C1	L3	6	3	1	No
12	2	M	C4	L5	4	2	1	Yes
13	3	F	other	other	5	2	1	No
14	0	F	C1	L1	2	1	1	No
15	NA	NA	NA	NA	NA	NA	NA	NA
16	2	M	other	L4	2	1	2	No
17	2	M	C4	L5	3	3	1	Yes
18	0	F	C3	L2	3	1	1	No
19	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	NA	NA	NA	NA	NA	NA	NA
21	3	M	other	L3	2	2	1	No
22	3	M	other	other	5	3	2	Yes
23	1	F	C3	L2	3	3	2	No
24	2	F	C1	L3	3	3	1	No
25	0	M	C1	L1	1	3	1	No
26	1	M	C1	L1	2	3	1	No
27	0	M	C3	L2	3	3	1	No
28	3	M	NA	NA	5	2	2	No
29	1	F	other	L4	2	2	2	Yes
30	0	M	C4	L5	1	2	2	No
31	NA	NA	NA	NA	NA	NA	NA	NA
32	2	M	C2	L2	4	1	1	Yes
33	NA	NA	NA	NA	NA	NA	NA	NA
34	1	M	other	other	4	3	1	Yes
35	0	M	C1	L1	2	3	1	No
36	1	M	other	L4	2	2	1	No
37	1	F	other	other	3	2	1	Yes
38	1	F	other	L1	3	4	1	No
39	2	F	C2	other	5	2	1	Yes
40	NA	NA	NA	NA	NA	NA	NA	NA
41	1	M	C1	other	2	5	1	Yes
42	1	M	other	other	3	2	1	No
43	0	M	C2	L2	3	1	1	Yes
44	1	F	other	other	4	2	1	No
45	0	M	other	L4	2	2	2	No
46	0	M	other	L2	1	2	2	No
47	NA	NA	NA	NA	NA	NA	NA	NA
48	NA	NA	NA	NA	NA	NA	NA	NA
49	0	M	other	L2	4	2	1	Yes
50	NA	NA	NA	NA	NA	NA	NA	NA
51	0	M	other	L2	2	2	1	No
52	1	F	C4	L5	2	3	1	No
53	1	M	other	L3	2	3	2	No
54	1	M	C2	L2	4	2	1	Yes
55	NA	NA	NA	NA	NA	NA	NA	NA
56	NA	NA	NA	NA	NA	NA	NA	NA
57	3	M	NA	NA	NA	NA	1	Yes
58	1	M	C1	other	3	3	4	Yes
59	0	M	C2	L2	2	1	1	No
60	0	M	C1	L1	2	1	1	No
61	0	M	C2	L1	4	2	1	No
62	0	M	other	L1	2	1	1	No
63	1	F	C3	other	3	2	1	No
64	1	M	other	L1	2	1	1	No
65	2	M	C2	L2	5	1	1	No
66	1	M	other	L3	3	2	1	No
67	1	F	C2	L2	3	1	2	No
68	1	M	C2	other	3	2	1	No
69	1	M	other	L3	2	2	1	No
70	1	M	C2	L3	3	2	2	No
71	2	F	C1	L1	6	1	4	No
72	2	M	other	L1	5	2	1	No
73	1	M	C2	other	2	2	1	Yes
74	2	M	C1	L1	5	4	1	No
75	1	F	C2	other	3	2	2	No
76	NA	NA	NA	NA	NA	NA	NA	NA
77	1	M	C2	other	2	1	1	No
78	NA	NA	NA	NA	NA	NA	2	No
79	0	M	C2	L3	2	3	2	No
80	1	F	C3	other	4	2	1	Yes
81	1	M	other	other	4	1	1	Yes
82	1	M	other	L4	3	1	2	No
83	0	M	other	other	2	2	1	No
84	1	M	C1	L1	2	2	4	No
85	1	M	C1	L1	2	1	4	No
86	NA	NA	NA	NA	NA	NA	NA	NA
87	1	F	C2	L3	4	1	1	Yes
88	0	M	C1	L1	1	1	1	No
89	1	M	C1	L1	3	2	4	No
90	0	M	C1	L1	1	1	1	No
91	2	M	C2	NA	NA	1	1	No
92	NA	NA	NA	NA	NA	NA	NA	NA
93	1	M	C2	L2	2	2	1	Yes
94	1	M	C1	L2	3	3	1	Yes
95	1	M	C2	L2	4	1	1	No
96	0	F	C1	other	2	2	1	No
97	NA	NA	NA	NA	NA	NA	NA	NA
98	0	F	C1	other	1	1	1	No
99	1	M	C3	L3	3	3	2	Yes
100	1	F	other	L4	2	5	1	No
101	NA	NA	NA	NA	NA	NA	NA	NA
102	0	M	C1	L1	2	3	1	No
103	1	M	C3	L2	4	2	1	Yes
104	NA	NA	NA	NA	NA	NA	NA	NA
105	1	M	other	L3	3	1	1	No
106	1	F	other	other	4	5	1	No
107	NA	NA	NA	NA	NA	NA	NA	NA
108	1	F	C1	L1	5	2	1	Yes
109	1	F	C1	L1	3	4	1	No
110	1	M	C1	L1	2	2	2	No
111	0	M	C1	other	2	2	4	Yes
112	NA	NA	NA	NA	NA	NA	NA	NA
113	NA	NA	NA	NA	NA	NA	NA	NA
114	0	F	C1	L1	1	4	4	No
115	NA	NA	NA	NA	NA	NA	NA	NA
116	NA	NA	NA	NA	NA	NA	NA	NA
117	NA	NA	NA	NA	NA	NA	NA	NA
118	1	M	other	other	4	2	1	No
119	NA	NA	NA	NA	NA	NA	NA	NA
120	0	M	C1	L1	1	1	4	No
121	0	M	other	L3	2	2	1	No
122	NA	NA	NA	NA	NA	NA	NA	NA
123	0	M	other	L4	2	3	1	No
124	2	M	other	other	5	5	1	No
125	0	F	C1	other	1	1	4	No
126	NA	NA	NA	NA	NA	NA	NA	NA
127	0	F	C1	other	2	2	4	No
128	1	F	C3	L2	4	1	1	Yes
129	1	M	C3	L2	4	2	2	Yes
130	NA	NA	NA	NA	NA	NA	NA	NA
131	1	F	C2	L1	5	5	1	Yes
132	1	F	other	other	2	3	2	Yes
133	0	F	C1	L1	1	3	1	No
134	1	F	C1	other	6	3	1	No
135	3	F	NA	L2	5	1	1	No
136	2	M	NA	NA	5	5	1	No
137	1	M	C1	L1	2	3	1	No
138	2	M	other	L2	5	2	1	Yes
139	3	M	NA	NA	5	3	1	Yes
140	NA	NA	NA	NA	NA	NA	NA	NA
141	NA	NA	NA	NA	NA	NA	NA	NA
142	3	M	other	other	5	1	1	No
143	0	M	NA	NA	2	1	1	Yes
144	NA	NA	NA	NA	NA	NA	1	Yes
145	1	M	other	L4	3	3	1	Yes
146	3	M	C3	L4	5	2	1	Yes
147	0	M	C1	L1	1	2	1	No
148	1	F	other	other	3	3	1	Yes
149	1	M	NA	NA	2	1	2	No
150	1	F	C3	L2	3	1	2	Yes
151	1	F	NA	L1	6	3	1	No
152	1	M	C1	L1	3	2	1	Yes
153	2	M	C4	L5	4	1	1	Yes
154	NA	NA	NA	NA	NA	NA	NA	NA
155	1	M	other	L3	4	4	2	No
156	3	M	C1	L1	5	1	NA	No
157	3	M	C2	L2	5	1	2	No
158	NA	NA	NA	NA	NA	NA	NA	NA
159	NA	NA	NA	NA	NA	NA	NA	NA
160	1	M	C2	L1	3	3	2	Yes
161	2	M	other	other	5	2	1	No
162	1	F	other	other	2	2	2	Yes
163	NA	NA	NA	NA	NA	NA	NA	NA
164	1	M	other	other	2	1	2	No
165	2	F	other	L3	6	2	1	No
166	NA	NA	NA	NA	NA	NA	NA	NA
167	1	M	C1	L1	3	2	1	No
168	0	M	C1	L1	2	1	2	No
169	NA	NA	NA	NA	NA	NA	NA	NA
170	NA	NA	NA	NA	NA	NA	NA	NA
171	NA	NA	NA	NA	NA	NA	NA	NA
172	0	F	C1	other	6	4	4	No
173	1	M	other	L4	6	3	2	No
174	0	M	C3	other	2	1	1	No
175	2	M	C3	L2	6	3	1	No
176	1	F	C1	L1	6	1	1	Yes
177	3	M	other	other	5	1	1	Yes
178	2	M	C2	L4	5	3	1	Yes
179	1	M	other	L4	3	2	2	No
180	1	F	C1	L1	1	1	1	Yes
181	NA	NA	NA	NA	NA	NA	NA	NA
182	2	M	C4	L5	4	2	1	Yes
183	0	F	C2	L3	2	1	1	No
184	3	M	NA	NA	5	3	1	No
185	3	F	C2	L2	5	1	1	No
186	NA	NA	NA	NA	NA	NA	NA	NA
187	NA	NA	NA	NA	NA	NA	1	Yes
188	NA	NA	NA	NA	NA	NA	NA	NA
189	0	M	C1	other	2	2	1	No
190	1	F	C1	L2	2	2	1	No
191	1	F	C2	other	4	2	1	Yes
192	1	M	C2	L3	3	2	2	No
193	1	M	C2	other	4	3	1	Yes
194	0	F	C1	L1	6	1	4	No
195	1	M	other	L4	3	2	1	No
196	NA	NA	NA	NA	NA	NA	NA	NA
197	0	M	C3	L1	2	1	1	No
198	1	M	other	L1	4	4	1	No
199	1	M	C2	L2	2	1	1	No
200	2	M	other	L3	4	1	1	Yes
201	2	M	C1	L1	5	1	1	Yes
202	0	M	C2	L2	6	1	1	Yes
203	NA	NA	NA	NA	NA	NA	NA	NA
204	0	M	other	other	2	3	1	No
205	1	F	C2	L2	3	1	2	No
206	1	F	C2	other	4	3	1	Yes
207	NA	NA	NA	NA	NA	NA	NA	NA
208	1	M	C1	other	3	2	2	No
209	1	M	C2	L2	2	1	1	No
210	1	M	C2	L1	5	4	2	No
211	NA	NA	NA	NA	NA	NA	NA	NA
212	0	F	other	other	2	4	2	No
213	NA	NA	NA	NA	NA	NA	NA	NA
214	NA	NA	NA	NA	NA	NA	NA	NA
215	1	M	other	other	2	3	1	No
216	2	M	C1	L1	3	3	2	Yes
217	2	F	other	L4	4	3	2	Yes
218	0	M	other	other	1	2	1	No
219	1	M	C2	L2	4	2	1	Yes
220	NA	NA	NA	NA	NA	NA	NA	NA
221	1	M	C2	other	3	2	1	No
222	0	M	other	other	1	1	1	No
223	1	M	C2	L2	2	2	2	Yes
