0	0	F	C1	L1	NA	NA	4	No
1	1	F	NA	NA	4	4	2	No
2	0	F	Other	L2	1	1	2	No
3	NA	NA	NA	NA	NA	NA	NA	NA
4	1	M	Other	L1	4	4	2	Yes
5	2	M	C1	L1	5	4	3	No
6	2	F	C1	L1	5	1	2	Yes
7	0	F	C1	L2	2	1	4	Yes
8	NA	NA	NA	NA	NA	NA	NA	NA
9	1	M	C1	L1	3	2	4	Yes
10	0	F	Other	L2	0	1	3	Yes
11	2	F	C1	L1	6	1	3	Yes
12	NA	NA	NA	NA	NA	NA	NA	NA
13	NA	NA	NA	NA	NA	NA	NA	NA
14	0	F	Other	Other	2	2	2	No
15	NA	NA	NA	NA	NA	NA	NA	NA
16	1	F	C1	L1	6	2	3	Yes
17	0	M	Other	Other	2	1	2	No
18	2	M	C1	L1	1	2	3	No
19	1	M	Other	Other	3	3	3	No
20	0	M	Other	Other	2	3	1	Yes
21	1	M	C1	L1	3	1	4	Yes
22	2	M	Other	Other	5	3	1	No
23	0	F	Other	Other	2	3	2	No
24	1	M	Other	Other	5	1	2	No
25	0	M	Other	L1	2	2	3	No
26	0	F	Other	L2	3	2	3	No
27	1	M	NA	NA	2	2	2	No
28	1	M	C1	L1	3	4	2	Yes
29	NA	NA	NA	NA	NA	NA	NA	NA
30	0	M	C1	L1	0	1	3	No
31	0	F	C1	L1	1	1	3	No
32	NA	NA	NA	NA	NA	NA	NA	NA
33	1	F	Other	Other	4	2	3	Yes
34	0	M	C1	L1	3	2	2	Yes
35	2	F	C1	L1	3	2	3	No
36	0	M	C1	L1	1	1	3	Yes
37	2	M	Other	Other	5	2	1	No
38	0	M	Other	Other	2	1	2	Yes
39	1	M	C1	Other	3	2	1	No
40	0	M	C1	Other	1	2	4	No
41	1	F	Other	Other	3	1	2	Yes
42	1	F	Other	Other	4	1	2	No
43	2	M	Other	Other	5	1	2	No
44	0	M	C1	Other	2	1	2	No
45	1	M	Other	NA	4	3	1	Yes
46	1	F	NA	Other	4	3	1	No
47	0	F	C1	L1	NA	NA	NA	NA
48	0	M	Other	Other	2	1	2	No
49	1	F	C1	L2	3	2	2	Yes
50	1	M	C1	L1	3	2	3	No
51	1	M	C1	Other	4	1	1	No
